Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
317,0.166972,0.0219667,0.0192897
318,0.183766,0.0220598,0.0167794
319,0.200551,0.0221569,0.0189044
320,0.167766,0.0223881,0.0210885
321,0.178381,0.0225919,0.0211236
322,0.169048,0.0220067,0.0188212
323,0.167907,0.022078,0.0177068
324,0.167073,0.0219925,0.0170293
325,0.167515,0.0220535,0.0194374
326,0.204618,0.022476,0.0201615
327,0.181909,0.0227116,0.0180427
328,0.16621,0.0227214,0.0180303
329,0.17194,0.0222397,0.0163524
330,0.166083,0.0229207,0.0169763
331,0.171063,0.0222257,0.0163376
332,0.167328,0.0226963,0.0176947
333,0.169733,0.0225516,0.0175307
334,0.17005,0.0227266,0.021866
335,0.170039,0.0227127,0.0177724
336,0.169838,0.0227419,0.0176589
337,0.168016,0.0229176,0.0182263
338,0.171821,0.0225435,0.0187351
339,0.167576,0.0227911,0.0190662
340,0.181225,0.0224416,0.0187226
341,0.165461,0.0226538,0.0173055
342,0.167889,0.0220969,0.0160952
343,0.164634,0.0225988,0.0155456
344,0.186151,0.0221323,0.0167735
345,0.168478,0.0221853,0.0208195
346,0.167483,0.0221578,0.0205352
347,0.166266,0.0222075,0.0193541
348,0.167223,0.0222339,0.0196889
349,0.167055,0.0219982,0.0158181
350,0.167022,0.0223531,0.0244756
351,0.163763,0.0222538,0.0190929
352,0.163561,0.0221026,0.0175709
353,0.166552,0.0221004,0.0199994
354,0.167582,0.0222558,0.0204215
355,0.163694,0.0221241,0.0193604
356,0.163846,0.0221977,0.0216382
357,0.166611,0.0220628,0.01586
358,0.166667,0.0219328,0.0160679
359,0.166563,0.0222659,0.0185657
360,0.163724,0.0222762,0.0189716
361,0.163841,0.0220754,0.0191958
362,0.166563,0.0220898,0.0198522
363,0.16316,0.022197,0.0183813
364,0.163348,0.0219858,0.0185275
365,0.163443,0.0222306,0.0183631
366,0.163571,0.0220245,0.0185451
367,0.166454,0.0220774,0.0193178
368,0.166579,0.0221808,0.0191728
369,0.163348,0.0222856,0.0186372
370,0.166744,0.0221928,0.0200907
371,0.163108,0.0222855,0.0194305
372,0.166057,0.0220434,0.0196459
373,0.166467,0.0222144,0.0188693
374,0.166624,0.0222771,0.0193379
375,0.163053,0.022263,0.0191702
376,0.163448,0.0221036,0.0179567
377,0.164294,0.0220889,0.0182222
378,0.184151,0.0221878,0.0183746
379,0.167114,0.0221587,0.0155764
380,0.168089,0.0221523,0.0193665
381,0.1671,0.0225627,0.0174115
382,0.16754,0.0221776,0.0212708
383,0.167223,0.0228526,0.0188363
384,0.167369,0.0220584,0.0187997
385,0.166865,0.022107,0.0168458
386,0.166978,0.0220471,0.0197962
387,0.166873,0.0220277,0.0187427
388,0.166681,0.0220073,0.0183462
389,0.166278,0.0222827,0.0192015
390,0.166641,0.0220737,0.0176228
391,0.168104,0.0220476,0.0191012
392,0.1679,0.0228354,0.0210911
393,0.168014,0.0226728,0.018723
394,0.168259,0.0228683,0.0177299
395,0.167857,0.0225798,0.0205887
396,0.167796,0.0228289,0.0188639
397,0.167614,0.0226035,0.0167436
398,0.167911,0.0224978,0.0188194
399,0.167463,0.0223573,0.0179505
400,0.167516,0.02241,0.0177789
